"ZipCode","MedianIncome"
"01876","88794"
"01879","93108"
"01880","85694"
"01886","125143"
"01887","100536"
"01890","141829"
"01901","22614"
"01902","37786"
"01904","81258"
"01905","47694"
"01906","76141"
"01907","96510"
"01908","65083"
"01913","76463"
"01915","73980"
"01921","127813"
"01922","111806"
"01923","77404"
"01929","89185"
"01930","60229"
"01937","-"
"01938","77901"
"01940","109099"
"01944","89313"
"01945","100709"
"01949","105646"
"01950","83149"
"01951","90969"
"01952","75995"
"01960","62137"
"01966","70288"
"01969","85994"
"01970","58937"
"01982","108558"
"01983","121157"
"01984","116875"
"01985","122969"
"02019","87417"
"02021","90878"
"02025","117679"
"02026","85558"
"02030","176250"
"02032","81513"
"02035","94538"
"02038","101980"
"02043","103350"
"02045","77440"
"02047","-"
"02048","93082"
"02050","88750"
"02052","143641"
"02053","109841"
"02054","96773"
"02056","143682"
"02061","110671"
"02062","79963"
"02066","104275"
"02067","126773"
"02071","121635"
"02072","74688"
"02081","90470"
"02090","128813"
"02093","99302"
"02108","99187"
"02109","104393"
"02110","115208"
"02111","50783"
"02113","69398"
"02114","86601"
"02115","27456"
"02116","93605"
"02118","62208"
"02119","27159"
"02120","32828"
"02121","26530"
"02122","53576"
"02124","47297"
"02125","45581"
"02126","44792"
"02127","72472"
"02128","50336"
"02129","87387"
"02130","78204"
"02131","63876"
"02132","86233"
"02134","38507"
"02135","46858"
"02136","61101"
"02138","78534"
"02139","73819"
"02140","75658"
"02141","66701"
"02142","104014"
"02143","67461"
"02144","79435"
"02145","55774"
"02148","55407"
"02149","51133"
"02150","48775"
"02151","50881"
"02152","64169"
"02155","77945"
"02163","48646"
"02169","60775"
"02170","63201"
"02171","72638"
"02176","86409"
"02180","76218"
"02184","87500"
"02186","113087"
"02188","70414"
"02189","60537"
"02190","77471"
"02191","67015"
"02199","110284"
"02203","-"
"02210","113622"
"02215","36719"
"02301","43694"
"02302","60171"
"02322","78750"
"02324","88481"
"02330","72804"
"02332","120253"
"02333","88534"
"02338","69917"
"02339","98750"
"02341","93771"
"02343","62909"
"02346","75727"
"02347","82418"
"02351","81500"
"02356","106989"
"02357","-"
"02359","89954"
"02360","76925"
"02364","86339"
"02366","-"
"02367","94505"
"02368","63325"
"02370","66860"
"02375","86695"
"02379","81573"
"02382","76494"
"02420","137109"
"02421","138202"
"02445","95895"
"02446","79289"
"02451","81182"
"02452","74289"
"02453","67721"
"02457","-"
"02458","91672"
"02459","135685"
"02460","103800"
"02461","131125"
"02462","83500"
"02464","87428"
"02465","131853"
"02466","105106"
"02467","113146"
"02468","203009"
"02472","86522"
"02474","89466"
"02476","97647"
"02478","106172"
"02481","177083"
"02482","139811"
"02492","138734"
"02493","201200"
"02494","112115"
"02532","61325"
"02534","72069"
"02535","66875"
"02536","62924"
"02537","81892"
"02538","58814"
"02539","56911"
"02540","61417"
"02542","45970"
"02543","63828"
"02553","42341"
"02554","86766"
"02556","90399"
"02557","80225"
"02558","43900"
"02559","67759"
"02561","88242"
"02562","66579"
"02563","82238"
"02564","83583"
"02568","42727"
"02571","57750"
"02575","73843"
"02576","81120"
"02584","-"
"02601","40385"
"02630","61713"
"02631","66389"
"02632","64286"
"02633","59545"
"02635","68990"
"02637","-"
"02638","60625"
"02639","40142"
"02641","132697"
"02642","62091"
"02643","-"
"02644","92054"
"02645","69115"
"02646","70096"
"02647","124659"
"02648","71067"
"02649","65768"
"02650","68446"
"02651","-"
"02652","47039"
"02653","58015"
"02655","68965"
"02657","41250"
"02659","50897"
"02660","51631"
"02663","46429"
"02664","50561"
"02666","61408"
"02667","45547"
"02668","87303"
"02669","103693"
"02670","56000"
"02671","42974"
"02672","-"
"02673","57094"
"02675","66064"
"02702","87740"
"02703","65141"
"02713","32500"
"02715","88631"
"02717","87880"
"02718","86023"
"02719","60445"
"02720","41576"
"02721","30743"
"02723","31255"
"02724","27737"
"02725","61875"
"02726","75657"
"02738","76607"
"02739","78216"
"02740","35174"
"02743","69180"
"02744","29663"
"02745","49640"
"02746","25872"
"02747","71674"
"02748","64808"
"02760","81259"
"02762","78516"
"02763","107083"
"02764","81067"
"02766","80806"
"02767","80019"
"02769","85691"
"02770","92656"
"02771","74242"
"02777","77434"
"02779","84423"
"02780","50307"
"02790","81334"
"02791","72198"
"02802","47826"
"02804","73393"
"02806","103937"
"02807","90526"
"02808","72526"
"02809","60988"
"02812","114803"
"02813","68904"
"02814","82532"
"02815","149583"
"02816","68351"
"02817","80987"
"02818","86144"
"02822","84142"
"02825","76962"
"02826","35385"
"02827","80125"
"02828","71853"
"02830","62076"
"02831","93869"
"02832","69700"
"02833","76544"
"02835","95833"
"02836","66154"
"02837","74698"
"02838","47500"
"02839","80625"
"02840","61680"
"02841","-"
"02842","70037"
"02852","75260"
"02857","79482"
"02858","98269"
"02859","53984"
"02860","33548"
"02861","52816"
"02863","28842"
"02864","74726"
"02865","76424"
"02871","77432"
"02872","115074"
"02873","72240"
"02874","109722"
"02875","84261"
"02876","34688"
"02878","73438"
"02879","71818"
"02881","76458"
"02882","65619"
"02885","53706"
"02886","63316"
"02888","55431"
"02889","62929"
"02891","62590"
"02892","80266"
"02893","50909"
"02894","95208"
"02895","35216"
"02896","79503"
"02898","88068"
"02903","28813"
"02904","40984"
"02905","39844"
"02906","66770"
"02907","28939"
"02908","42131"
"02909","30439"
"02910","54577"
"02911","56038"
"02912","-"
"02914","45688"
"02915","51948"
"02916","62768"
"02917","70803"
"02919","57506"
"02920","49766"
"02921","99915"
"03031","114399"
"03032","106222"
"03033","109006"
"03034","94347"
"03036","107833"
"03037","87786"
"03038","65157"
"03042","77629"
"03043","87500"
"03044","82566"
"03045","70034"
"03046","94417"
"03047","70833"
"03048","62778"
"03049","107333"
"03051","84099"
"03052","96429"
"03053","94314"
"03054","91429"
"03055","64453"
"03057","92591"
"03060","46511"
"03062","84927"
"03063","75458"
"03064","62336"
"03070","100616"
"03071","81375"
"03076","87359"
"03077","66198"
"03079","78395"
"03082","78542"
"03084","64948"
"03086","71841"
"03087","111982"
"03101","30381"
"03102","49127"
"03103","51106"
"03104","63577"
"03106","82597"
"03109","82266"
"03110","123423"
"03215","73750"
"03216","66513"
"03217","41658"
"03218","86071"
"03220","65352"
"03221","60076"
"03222","50816"
"03223","54367"
"03224","86797"
"03225","65221"
"03226","70278"
"03227","60089"
"03229","87545"
"03230","59063"
"03231","78553"
"03233","107955"
"03234","71747"
"03235","42831"
"03237","72959"
"03238","50833"
"03240","45958"
"03241","51875"
"03242","65867"
"03243","60250"
"03244","57604"
"03245","66050"
"03246","49960"
"03249","67440"
"03251","41548"
"03253","56484"
"03254","77007"
"03255","64375"
"03256","69292"
"03257","67404"
"03258","76192"
"03259","57250"
"03260","75089"
"03261","71379"
"03262","50714"
"03263","48672"
"03264","40269"
"03266","52232"
"03268","66833"
"03269","68555"
"03273","59375"
"03275","61600"
"03276","58634"
"03278","71000"
"03279","41923"
"03280","59375"
"03281","88871"
"03282","48125"
"03284","75000"
"03285","57284"
"03287","66111"
"03290","84953"
"03291","-"
"03293","34643"
"03301","52334"
"03303","59592"
"03304","105266"
"03307","68503"
"03431","53576"
"03440","63618"
"03441","88413"
"03442","66125"
"03443","69450"
"03444","62500"
"03445","48056"
"03446","55096"
"03447","56161"
"03448","46429"
"03449","82917"
"03450","55900"
"03451","48382"
"03452","54420"
"03455","52695"
"03456","66250"
"03457","64417"
"03458","61486"
"03461","66800"
"03462","82535"
"03464","74018"
"03465","55259"
"03466","76023"
"03467","80486"
"03470","45771"
"03561","43314"
"03570","36358"
"03574","49671"
"03575","88750"
"03576","44841"
"03579","40063"
"03580","68958"
"03581","52390"
"03582","36996"
"03583","51188"
"03584","48264"
"03585","49087"
"03586","67500"
"03588","52794"
"03590","30096"
"03592","35729"
"03593","72000"
"03595","52250"
"03597","27417"
"03598","44864"
"03601","43854"
"03602","65556"
"03603","42920"
"03604","66607"
"03605","61161"
"03607","55357"
"03608","55679"
"03609","51071"
"03740","48750"
"03741","58780"
"03743","45709"
"03745","73500"
"03746","78000"
"03748","80110"
"03750","135750"
"03751","56250"
"03752","49167"
"03753","96875"
"03754","-"
"03755","86020"
"03765","58393"
"03766","55183"
"03768","110781"
"03770","100568"
"03771","62083"
"03773","55829"
"03774","57426"
"03777","76339"
"03779","72841"
"03780","65694"
"03781","98375"
"03782","74113"
"03784","45536"
"03785","40435"
"03801","68436"
"03809","56799"
"03810","83125"
"03811","95341"
"03812","31357"
"03813","59978"
"03814","44458"
"03816","59676"
"03817","20403"
"03818","40643"
"03819","90938"
"03820","60045"
"03823","99219"
"03824","67578"
"03825","82431"
"03826","80774"
"03827","85667"
"03830","43313"
"03832","66875"
"03833","81896"
"03835","50632"
"03836","48472"
"03837","56094"
"03838","57936"
"03839","60000"
"03840","87949"
"03841","93375"
"03842","73333"
"03844","105625"
"03845","53173"
"03846","77031"
"03847","82574"
"03848","74817"
"03849","53537"
"03850","47417"
"03851","60244"
"03852","45179"
"03853","62880"
"03854","122604"
"03855","78583"
"03856","102500"
"03857","63178"
"03858","78980"
"03860","43341"
"03861","96083"
"03862","86853"
"03864","46250"
"03865","70264"
"03867","45693"
"03868","53538"
"03869","63221"
"03870","96500"
"03871","-"
"03872","51496"
"03873","77861"
"03874","51871"
"03875","60441"
"03878","53105"
"03882","44779"
"03883","101974"
"03884","97333"
"03885","116111"
"03886","50273"
"03887","54653"
"03890","48333"
"03894","62200"
"03901","64309"
"03902","72042"
"03903","79403"
"03904","59521"
"03905","62500"
"03906","72991"
"03907","61750"
"03908","75341"
"03909","69571"
"03910","51875"
"03911","9423"
"04001","60625"
"04002","56984"
"04003","73750"
"04005","46775"
"04006","34464"
"04008","65658"
"04009","42808"
"04010","55347"
"04011","55833"
"04015","51327"
"04017","57321"
"04019","-"
"04020","40069"
"04021","94428"
"04022","49803"
"04024","65197"
"04027","62870"
"04029","50500"
"04030","61934"
"04032","72526"
"04037","42287"
"04038","74563"
"04039","66887"
"04040","55034"
"04041","42455"
"04042","62016"
"04043","72489"
"04046","69225"
"04047","43750"
"04048","55959"
"04049","60191"
"04050","45313"
"04051","62422"
"04055","57683"
"04056","28750"
"04057","-"
"04061","70085"
"04062","66307"
"04063","18654"
"04064","42596"
"04066","90036"
"04068","45281"
"04069","63264"
"04071","66250"
"04072","52611"
"04073","43122"
"04074","79152"
"04076","57000"
"04079","62412"
"04083","49659"
"04084","63778"
"04085","59474"
"04086","64327"
"04087","53958"
"04088","43963"
"04090","60455"
"04091","53594"
"04092","45041"
"04093","60483"
"04095","38380"
"04096","74014"
"04097","85694"
"04101","32058"
"04102","46892"
"04103","55666"
"04105","99324"
"04106","53633"
"04107","98854"
"04108","51042"
"04109","59750"
"04110","134453"
"04210","45279"
"04216","33571"
"04217","49063"
"04219","39770"
"04220","40046"
"04221","44412"
"04222","66591"
"04224","40625"
"04226","35278"
"04227","60893"
"04228","-"
"04231","45357"
"04234","28621"
"04236","64615"
"04237","42188"
"04238","54167"
"04239","52642"
"04240","36696"
"04250","44889"
"04252","54537"
"04253","44031"
"04254","40729"
"04255","52917"
"04256","46250"
"04257","26842"
"04258","65699"
"04259","64514"
"04260","63000"
"04261","43333"
"04263","53988"
"04265","58029"
"04267","23611"
"04268","38877"
"04270","43217"
"04271","-"
"04274","60729"
"04275","49327"
"04276","32824"
"04280","52385"
"04281","30959"
"04282","57788"
"04284","58438"
"04285","47679"
"04286","83125"
"04287","53362"
"04289","46705"
"04290","45865"
"04292","39688"
"04294","37897"
"04330","41893"
"04342","53594"
"04343","119083"
"04344","36979"
"04345","50187"
"04346","45513"
"04347","50577"
"04348","50348"
"04349","56600"
"04350","55403"
"04351","66935"
"04352","48466"
"04353","56000"
"04354","48676"
"04355","67974"
"04357","58393"
"04358","45224"
"04359","34707"
"04360","40417"
"04363","48750"
"04364","62824"
"04401","40531"
"04406","37452"
"04408","60938"
"04410","41964"
"04411","42222"
"04412","51216"
"04413","44917"
"04414","32882"
"04415","36029"
"04416","37545"
"04417","39688"
"04418","40536"
"04419","57083"
"04421","48523"
"04422","47857"
"04424","34563"
"04426","46191"
"04427","46903"
"04428","51298"
"04429","60071"
"04430","34500"
"04431","41339"
"04434","52386"
"04435","45536"
"04438","42969"
"04441","44006"
"04442","36250"
"04443","33306"
"04444","75795"
"04448","38083"
"04449","49297"
"04450","40442"
"04451","31667"
"04453","48125"
"04454","17813"
"04455","49565"
"04456","51780"
"04457","34007"
"04459","31118"
"04460","45000"
"04461","50971"
"04462","33562"
"04463","29384"
"04464","29107"
"04468","33515"
"04469","-"
"04471","33063"
"04472","52206"
"04473","43832"
"04474","59063"
"04475","28194"
"04476","41250"
"04478","35521"
"04479","28824"
"04481","38750"
"04485","42361"
"04487","31146"
"04488","52964"
"04489","78913"
"04490","40250"
"04491","27250"
"04492","32000"
"04493","43029"
"04495","35625"
"04496","56803"
"04497","30795"
"04530","45156"
"04535","61518"
"04537","53387"
"04538","45795"
"04539","56422"
"04541","90556"
"04543","43668"
"04544","57875"
"04547","50000"
"04548","58684"
"04551","55750"
"04553","55962"
"04554","44762"
"04555","52036"
"04556","54830"
"04558","22604"
"04562","59485"
"04563","49524"
"04564","63482"
"04568","53462"
"04570","-"
"04571","55139"
"04572","46798"
"04573","47750"
"04574","46250"
"04575","235192"
"04576","53542"
"04578","46328"
"04579","66548"
"04605","48588"
"04606","44830"
"04607","43864"
"04609","49233"
"04611","33750"
"04612","39815"
"04613","47917"
"04614","34935"
"04616","52875"
"04617","64167"
"04619","33448"
"04622","41364"
"04623","42500"
"04624","31406"
"04625","43750"
"04626","44545"
"04627","43194"
"04628","34286"
"04629","30663"
"04630","50774"
"04631","33245"
"04634","38636"
"04635","64000"
"04637","37813"
"04640","41250"
"04642","71250"
"04643","44750"
"04644","-"
"04645","41042"
"04646","56250"
"04648","33438"
"04649","33333"
"04650","55795"
"04652","34762"
"04653","33906"
"04654","38438"
"04655","44412"
"04657","41250"
"04658","36050"
"04660","63561"
"04662","47188"
"04664","41513"
"04666","37917"
"04667","34808"
"04668","27212"
"04669","53036"
"04671","47434"
"04673","25000"
"04674","43333"
"04675","88516"
"04676","39688"
"04677","54375"
"04679","43566"
"04680","36985"
"04681","38603"
"04683","-"
"04684","50921"
"04685","53750"
"04686","32708"
"04691","53984"
"04693","41595"
"04694","48125"
"04730","37107"
"04732","36667"
"04733","41250"
"04734","43516"
"04735","33750"
"04736","36068"
"04739","31471"
"04740","37065"
"04741","-"
"04742","30748"
"04743","41535"
"04745","43984"
"04746","29688"
"04747","37708"
"04750","32823"
"04756","37695"
"04757","51367"
"04758","41607"
"04760","41000"
"04761","37917"
"04762","45417"
"04763","35357"
"04764","37857"
"04765","39286"
"04766","51250"
"04768","51000"
"04769","36706"
"04772","35000"
"04773","53125"
"04774","24922"
"04776","34677"
"04777","32788"
"04779","60938"
"04780","48482"
"04781","42292"
"04783","40446"
"04785","28042"
"04786","43553"
"04787","38636"
"04841","41095"
"04843","53051"
"04847","56184"
"04848","53250"
"04849","46920"
"04851","50417"
"04852","6250"
"04853","61250"
"04854","53750"
"04855","51354"
"04856","62115"
"04858","49423"
"04859","52500"
"04860","51375"
"04861","47625"
"04862","50750"
"04863","62500"
"04864","60000"
"04901","36278"
"04910","42262"
"04911","28450"
"04912","39444"
"04915","34663"
"04917","69524"
"04918","30054"
"04920","31414"
"04921","33750"
"04922","29028"
"04923","34063"
"04924","46328"
"04925","44500"
"04926","-"
"04927","44375"
"04928","43500"
"04929","41406"
"04930","37986"
"04932","48188"
"04933","-"
"04936","41071"
"04937","46467"
"04938","38215"
"04939","36250"
"04940","-"
"04941","39491"
"04942","29271"
"04943","31563"
"04944","-"
"04945","40313"
"04947","51875"
"04949","33203"
"04950","37675"
"04951","34886"
"04952","45938"
"04953","37336"
"04955","43508"
"04956","32750"
"04957","45556"
"04958","38566"
"04961","37212"
"04962","22500"
"04963","56912"
"04964","43750"
"04965","40804"
"04966","45417"
"04967","55577"
"04969","50952"
"04970","47381"
"04971","50156"
"04973","45474"
"04974","33556"
"04975","-"
"04976","34632"
"04978","55938"
"04979","40110"
"04981","50568"
"04982","44583"
"04983","34237"
"04984","40583"
"04985","60833"
"04986","39632"
"04987","31705"
"04988","46750"
"04989","50603"
"04992","7075"
"05001","57200"
"05031","58938"
"05032","54931"
"05033","45568"
"05034","96806"
"05035","51250"
"05036","63077"
"05037","73088"
"05038","58542"
"05039","60500"
"05040","59211"
"05041","46250"
"05042","46477"
"05043","51786"
"05045","66176"
"05046","47112"
"05048","51175"
"05050","47625"
"05051","48478"
"05052","51466"
"05053","83250"
"05055","87031"
"05056","57692"
"05058","44792"
"05059","57365"
"05060","46522"
"05061","65045"
"05062","59375"
"05065","59000"
"05067","68409"
"05068","39755"
"05069","60769"
"05070","59464"
"05071","102250"
"05072","53571"
